Index,Name,Tweets,Location,Subcategory,
30,BKieltArtist,"Little study finished: ""A New Normal"" Oil and Charcoal on Canvas. #Art #Painting #ArtsNI #visualart https://t.co/3rH59xnB6x",Derry / Belfast,Painting,
54,BKieltArtist,A day of blocking in and working out... #Art #visualart #ArtsNI #Painting https://t.co/DTdEPMQKKF,Derry / Belfast,Painting,
81,BKieltArtist,"""Lady of the Manor"" #Finished #Painting #Art #VisualArt #ArtsNI #OilOnBoard #MixedMedia https://t.co/m0cAiyINMI",Derry / Belfast,Painting,
84,BKieltArtist,"Close up of ""Lady of the Manor"" - #Painting in progress. #Art #visualart #ArtsNI #WorkInProgress #Portrait #Study https://t.co/eNtqWtbd6e",Derry / Belfast,Painting,
108,BKieltArtist,Had a great chat with Clinton Kirkpatrick today about our work. You can check it out here: https://t.co/VoK9sQsTJ7 #Art #Painting #ArtsNI,Derry / Belfast,Painting,
110,BKieltArtist,@Talkart speaking with #RalphRugoff @haywardgallery #Painting  https://t.co/J4zcMAx4Of,Derry / Belfast,Painting,
111,BKieltArtist,Little bit of progress on this oil on board piece. #Art #visualart #ArtsNI #Painting https://t.co/KC7S8o6aWR,Derry / Belfast,Painting,
113,BKieltArtist,Michael Armitage on @LouisianaChann #Art #Painting https://t.co/w3IH8jrjHp,Derry / Belfast,Painting,
116,BKieltArtist,"""Unimpressed"" #Painting in progress. #Art #visualart #ArtsNI #WorkInProgress #MixedMedia https://t.co/0sNtbFCYEl",Derry / Belfast,Painting,
126,BKieltArtist,Large board on the go. #Art #Painting #ArtsNI #WorkInProgress #Pyramids #Portrait https://t.co/G2F6R8PSdf,Derry / Belfast,Painting,
129,BKieltArtist,Repurposing old works. #Art #Painting #ArtsNI #visualart #WorkInProgress #WIP #PaintingInProgress #portrait https://t.co/Nb1CpJDRjm,Derry / Belfast,Painting,
133,BKieltArtist,"#Finished #Painting ""Life is But a Dream"" #Art #VisualArt #ArtsNI #Detail #MixedMedia https://t.co/LUjZtZWTou",Derry / Belfast,Painting,
148,BKieltArtist,"#Finished #Painting ""Galamseyer"" Oil, Charcoal and Spray Paint on Canvas - 71cm x 71cm #Art #VisualArt #ArtsNI https://t.co/YHafCYCScD",Derry / Belfast,Painting,
151,BKieltArtist,Some shots of #WorkInProgress today. #Art #ArtsNI #VisualArt #Painting #WIP https://t.co/yEutm5mzWw,Derry / Belfast,Painting,
154,BKieltArtist,RDH:  JUNE 2020 #Blog #VisualArt #ArtsNI #Painting #RDH  https://t.co/OhbKhHwgVU,Derry / Belfast,Painting,
155,BKieltArtist,"#Finished #Painting ""Moon Boy"" Oil and Charcoal on Canvas 40cm x 50cm #Art #VisualArt #ArtsNI https://t.co/I4xjKvx7mK",Derry / Belfast,Painting,
159,BKieltArtist,#StudioShot: 23/06/21 #Art #Painting #ArtsNI #visualart #WorkInProgress #WIP #PaintingInProgress #portrait #Study https://t.co/D2bJwLmtA2,Derry / Belfast,Painting,
167,BKieltArtist,"""History Repeating"" Oil, Charcoal and Photo Transfer on Canvas 118cm x 106cm #Art #Painting #ArtsNI #visualart https://t.co/cfybs6Bo9Q",Derry / Belfast,Painting,
170,BKieltArtist,RDH:  MAY 2021 #Blog #May #VisualArt #ArtsNI #Painting  https://t.co/IZ8YkcW7P2,Derry / Belfast,Painting,
179,BKieltArtist,Working on figures today. #Art #ArtsNI #VisualArt #Painting #WorkInProgress #WIP #PaintingInProgress https://t.co/X9OlLfufH7,Derry / Belfast,Painting,
183,BKieltArtist,"RT @PaintingText: New interview with the painter Shane Berkery now live! 
https://t.co/dHWHyl5HUm",Derry / Belfast,Painting,
